Index,ROI,NAA+NAAG,Glu+Gln,Ins+Gly,GABA+Glu,TwoHG+Gln,GPC+PCh,Cr+PCr,Cys,GABA,Glu,Gln,Gly,GSH,Ins,NAA,NAAG,Ser,Tau,TwoHG,MM,NAA+NAAG,Glu+Gln,Ins+Gly,GABA+Glu,TwoHG+Gln,GPC+PChToNAA,Cr+PCrToNAA,CysToNAA,GABAToNAA,GluToNAA,GlnToNAA,GlyToNAA,GSHToNAA,InsToNAA,SerToNAA,TauToNAA,TwoHGToNAA,MMToNAA,Glu+GlnToNAA,Ins+GlyToNAA,GABA+GluToNAA,TwoHG+GlnToNAA,GPC+PChToNAA+NAAG,Cr+PCrToNAA+NAAG,CysToNAA+NAAG,GABAToNAA+NAAG,GluToNAA+NAAG,GlnToNAA+NAAG,GlyToNAA+NAAG,GSHToNAA+NAAG,InsToNAA+NAAG,SerToNAA+NAAG,TauToNAA+NAAG,TwoHGToNAA+NAAG,MMToNAA+NAAG,Glu+GlnToNAA+NAAG,Ins+GlyToNAA+NAAG,GABA+GluToNAA+NAAG,TwoHG+GlnToNAA+NAAG,GPC+PChToCr+PCr,CysToCr+PCr,GABAToCr+PCr,GluToCr+PCr,GlnToCr+PCr,GlyToCr+PCr,GSHToCr+PCr,InsToCr+PCr,NAAToCr+PCr,NAAGToCr+PCr,SerToCr+PCr,TauToCr+PCr,TwoHGToCr+PCr,MMToCr+PCr,NAA+NAAGToCr+PCr,Glu+GlnToCr+PCr,Ins+GlyToCr+PCr,GABA+GluToCr+PCr,TwoHG+GlnToCr+PCr,TwoHGToGPC+PCh,TwoHGToCys,TwoHGToGABA,TwoHGToGlu,TwoHGToGln,TwoHGToGly,TwoHGToGSH,TwoHGToIns,TwoHGToNAAG,TwoHGToSer,TwoHGToTau,TwoHGToMM,TwoHGToGlu+Gln,TwoHGToIns+Gly,TwoHGToGABA+Glu,TwoHGToTwoHG+Gln,Cr+PCrToGPC+PCh,CysToGPC+PCh,GABAToGPC+PCh,GluToGPC+PCh,GlnToGPC+PCh,GlyToGPC+PCh,GSHToGPC+PCh,InsToGPC+PCh,NAAToGPC+PCh,NAAGToGPC+PCh,SerToGPC+PCh,TauToGPC+PCh,MMToGPC+PCh,NAA+NAAGToGPC+PCh,Glu+GlnToGPC+PCh,Ins+GlyToGPC+PCh,GABA+GluToGPC+PCh,TwoHG+GlnToGPC+PCh,GlyToIns,GlyToGly+Ins,GlnToGlu+Gln,GluToGlu+Gln
21,Cortical GM+ subcortical WM (left),11.36,10.11,5.98,9.71,2.42,1.78,7.09,0.99,1.82,7.89,2.22,0.88,0.85,5.11,9.49,1.87,1.95,2.21,0.2,0.2,11.36,10.11,5.98,9.71,2.42,0.1876,0.7471,0.1043,0.1918,0.8314,0.2339,0.0927,0.0896,0.5385,0.2055,0.2329,0.0211,0.0211,1.0653,0.6301,1.0232,0.255,0.1567,0.6241,0.0871,0.1602,0.6945,0.1954,0.0775,0.0748,0.4498,0.1717,0.1945,0.0176,0.0176,0.89,0.5264,0.8548,0.213,0.2511,0.1396,0.2567,1.1128,0.3131,0.1241,0.1199,0.7207,1.3385,0.2638,0.275,0.3117,0.0282,0.0282,1.6023,1.426,0.8434,1.3695,0.3413,0.1124,0.202,0.1099,0.0253,0.0901,0.2273,0.2353,0.0391,0.107,0.1026,0.0905,1.0,0.0198,0.0334,0.0206,0.0826,3.9831,0.5562,1.0225,4.4326,1.2472,0.4944,0.4775,2.8708,5.3315,1.0506,1.0955,1.2416,0.1124,6.382,5.6798,3.3596,5.4551,1.3596,0.1722,0.1472,0.2196,0.7804
22,Cortical GM+ subcortical WM (right),11.52,10.12,6.29,9.83,2.34,1.86,7.25,0.99,1.85,7.98,2.14,0.87,0.85,5.41,9.6,1.92,1.85,2.24,0.2,0.2,11.52,10.12,6.29,9.83,2.34,0.1938,0.7552,0.1031,0.1927,0.8312,0.2229,0.0906,0.0885,0.5635,0.1927,0.2333,0.0208,0.0208,1.0542,0.6552,1.024,0.2438,0.1615,0.6293,0.0859,0.1606,0.6927,0.1858,0.0755,0.0738,0.4696,0.1606,0.1944,0.0174,0.0174,0.8785,0.546,0.8533,0.2031,0.2566,0.1366,0.2552,1.1007,0.2952,0.12,0.1172,0.7462,1.3241,0.2648,0.2552,0.309,0.0276,0.0276,1.589,1.3959,0.8676,1.3559,0.3228,0.1075,0.202,0.1081,0.0251,0.0935,0.2299,0.2353,0.037,0.1042,0.1081,0.0893,1.0,0.0198,0.0318,0.0203,0.0855,3.8978,0.5323,0.9946,4.2903,1.1505,0.4677,0.457,2.9086,5.1613,1.0323,0.9946,1.2043,0.1075,6.1935,5.4409,3.3817,5.2849,1.2581,0.1608,0.1383,0.2115,0.7885
23,Cortical GM+ subcortical WM (bilateral),11.43,10.11,6.13,9.77,2.38,1.81,7.16,0.98,1.83,7.93,2.18,0.87,0.85,5.25,9.54,1.89,1.9,2.22,0.2,0.2,11.43,10.11,6.13,9.76,2.38,0.1897,0.7505,0.1027,0.1918,0.8312,0.2285,0.0912,0.0891,0.5503,0.1992,0.2327,0.021,0.021,1.0597,0.6426,1.0231,0.2495,0.1584,0.6264,0.0857,0.1601,0.6938,0.1907,0.0761,0.0744,0.4593,0.1662,0.1942,0.0175,0.0175,0.8845,0.5363,0.8539,0.2082,0.2528,0.1369,0.2556,1.1075,0.3045,0.1215,0.1187,0.7332,1.3324,0.264,0.2654,0.3101,0.0279,0.0279,1.5964,1.412,0.8561,1.3631,0.3324,0.1105,0.2041,0.1093,0.0252,0.0917,0.2299,0.2353,0.0381,0.1058,0.1053,0.0901,1.0,0.0198,0.0326,0.0205,0.084,3.9558,0.5414,1.011,4.3812,1.2044,0.4807,0.4696,2.9006,5.2707,1.0442,1.0497,1.2265,0.1105,6.3149,5.5856,3.3867,5.3923,1.3149,0.1657,0.1419,0.2156,0.7844
24,Subcortical GM (left),11.64,10.62,6.54,10.1,2.62,2.32,8.61,1.17,1.89,8.2,2.42,0.96,1.43,5.58,9.5,2.13,2.53,2.27,0.2,0.2,11.64,10.62,6.54,10.09,2.62,0.2442,0.9063,0.1232,0.1989,0.8632,0.2547,0.1011,0.1505,0.5874,0.2663,0.2389,0.0211,0.0211,1.1179,0.6884,1.0621,0.2758,0.1993,0.7397,0.1005,0.1624,0.7045,0.2079,0.0825,0.1229,0.4794,0.2174,0.195,0.0172,0.0172,0.9124,0.5619,0.8668,0.2251,0.2695,0.1359,0.2195,0.9524,0.2811,0.1115,0.1661,0.6481,1.1034,0.2474,0.2938,0.2636,0.0232,0.0232,1.3519,1.2334,0.7596,1.1719,0.3043,0.0862,0.1709,0.1058,0.0244,0.0826,0.2083,0.1399,0.0358,0.0939,0.0791,0.0881,1.0,0.0188,0.0306,0.0198,0.0763,3.7112,0.5043,0.8147,3.5345,1.0431,0.4138,0.6164,2.4052,4.0948,0.9181,1.0905,0.9784,0.0862,5.0172,4.5776,2.819,4.3491,1.1293,0.172,0.1468,0.2279,0.7721
25,Subcortical GM (right),9.65,9.64,5.88,9.22,2.6,2.02,7.4,0.94,1.98,7.24,2.4,0.89,1.33,4.99,7.83,1.82,2.36,1.9,0.2,0.2,9.65,9.64,5.88,9.22,2.6,0.258,0.9451,0.1201,0.2529,0.9246,0.3065,0.1137,0.1699,0.6373,0.3014,0.2427,0.0255,0.0255,1.2312,0.751,1.1775,0.3321,0.2093,0.7668,0.0974,0.2052,0.7503,0.2487,0.0922,0.1378,0.5171,0.2446,0.1969,0.0207,0.0207,0.999,0.6093,0.9554,0.2694,0.273,0.127,0.2676,0.9784,0.3243,0.1203,0.1797,0.6743,1.0581,0.2459,0.3189,0.2568,0.027,0.027,1.3041,1.3027,0.7946,1.2459,0.3514,0.099,0.2128,0.101,0.0276,0.0833,0.2247,0.1504,0.0401,0.1099,0.0847,0.1053,1.0,0.0207,0.034,0.0217,0.0769,3.6634,0.4653,0.9802,3.5842,1.1881,0.4406,0.6584,2.4703,3.8762,0.901,1.1683,0.9406,0.099,4.7772,4.7723,2.9109,4.5644,1.2871,0.1784,0.1514,0.249,0.751
26,Subcortical GM (bilateral),10.62,10.12,6.2,9.65,2.6,2.17,7.99,1.05,1.93,7.72,2.4,0.92,1.37,5.28,8.66,1.95,2.44,2.07,0.2,0.2,10.62,10.12,6.2,9.65,2.6,0.2506,0.9226,0.1212,0.2229,0.8915,0.2771,0.1062,0.1582,0.6097,0.2818,0.239,0.0231,0.0231,1.1686,0.7159,1.1143,0.3002,0.2043,0.7524,0.0989,0.1817,0.7269,0.226,0.0866,0.129,0.4972,0.2298,0.1949,0.0188,0.0188,0.9529,0.5838,0.9087,0.2448,0.2716,0.1314,0.2416,0.9662,0.3004,0.1151,0.1715,0.6608,1.0839,0.2441,0.3054,0.2591,0.025,0.025,1.3292,1.2666,0.776,1.2078,0.3254,0.0922,0.1905,0.1036,0.0259,0.0833,0.2174,0.146,0.0379,0.1026,0.082,0.0966,1.0,0.0198,0.0323,0.0207,0.0769,3.682,0.4839,0.8894,3.5576,1.106,0.424,0.6313,2.4332,3.9908,0.8986,1.1244,0.9539,0.0922,4.894,4.6636,2.8571,4.447,1.1982,0.1742,0.1484,0.2372,0.7628
27,Auditory subcortex WM,10.34,10.76,5.93,9.79,2.82,1.91,7.13,0.86,1.65,8.14,2.62,0.79,0.95,5.13,8.81,1.53,2.18,2.07,0.2,0.2,10.34,10.76,5.93,9.79,2.82,0.2168,0.8093,0.0976,0.1873,0.924,0.2974,0.0897,0.1078,0.5823,0.2474,0.235,0.0227,0.0227,1.2213,0.6731,1.1112,0.3201,0.1847,0.6896,0.0832,0.1596,0.7872,0.2534,0.0764,0.0919,0.4961,0.2108,0.2002,0.0193,0.0193,1.0406,0.5735,0.9468,0.2727,0.2679,0.1206,0.2314,1.1417,0.3675,0.1108,0.1332,0.7195,1.2356,0.2146,0.3058,0.2903,0.0281,0.0281,1.4502,1.5091,0.8317,1.3731,0.3955,0.1047,0.2326,0.1212,0.0246,0.0763,0.2532,0.2105,0.039,0.1307,0.0917,0.0966,1.0,0.0186,0.0337,0.0204,0.0709,3.733,0.4503,0.8639,4.2618,1.3717,0.4136,0.4974,2.6859,4.6126,0.801,1.1414,1.0838,0.1047,5.4136,5.6335,3.1047,5.1257,1.4764,0.154,0.1332,0.2435,0.7565
28,Auditory  cortex GM,9.58,10.74,5.62,9.74,2.84,1.67,6.69,0.8,1.64,8.1,2.64,0.74,0.83,4.88,8.13,1.45,2.05,2.22,0.2,0.2,9.58,10.74,5.62,9.74,2.84,0.2054,0.8229,0.0984,0.2017,0.9963,0.3247,0.091,0.1021,0.6002,0.2522,0.2731,0.0246,0.0246,1.321,0.6913,1.198,0.3493,0.1743,0.6983,0.0835,0.1712,0.8455,0.2756,0.0772,0.0866,0.5094,0.214,0.2317,0.0209,0.0209,1.1211,0.5866,1.0167,0.2965,0.2496,0.1196,0.2451,1.2108,0.3946,0.1106,0.1241,0.7294,1.2152,0.2167,0.3064,0.3318,0.0299,0.0299,1.432,1.6054,0.8401,1.4559,0.4245,0.1198,0.25,0.122,0.0247,0.0758,0.2703,0.241,0.041,0.1379,0.0976,0.0901,1.0,0.0186,0.0356,0.0205,0.0704,4.006,0.479,0.982,4.8503,1.5808,0.4431,0.497,2.9222,4.8683,0.8683,1.2275,1.3293,0.1198,5.7365,6.4311,3.3653,5.8323,1.7006,0.1516,0.1317,0.2458,0.7542
29,Auditory cortex/subcortex GM+WM,9.93,10.74,5.76,9.75,2.83,1.78,6.89,0.83,1.64,8.11,2.63,0.77,0.89,4.99,8.44,1.48,2.11,2.15,0.2,0.2,9.93,10.74,5.76,9.75,2.83,0.2109,0.8164,0.0983,0.1943,0.9609,0.3116,0.0912,0.1055,0.5912,0.25,0.2547,0.0237,0.0237,1.2725,0.6825,1.1552,0.3353,0.1793,0.6939,0.0836,0.1652,0.8167,0.2649,0.0775,0.0896,0.5025,0.2125,0.2165,0.0201,0.0201,1.0816,0.5801,0.9819,0.285,0.2583,0.1205,0.238,1.1771,0.3817,0.1118,0.1292,0.7242,1.225,0.2148,0.3062,0.312,0.029,0.029,1.4412,1.5588,0.836,1.4151,0.4107,0.1124,0.241,0.122,0.0247,0.076,0.2597,0.2247,0.0401,0.1351,0.0948,0.093,1.0,0.0186,0.0347,0.0205,0.0707,3.8708,0.4663,0.9213,4.5562,1.4775,0.4326,0.5,2.8034,4.7416,0.8315,1.1854,1.2079,0.1124,5.5787,6.0337,3.236,5.4775,1.5899,0.1543,0.1337,0.2449,0.7551
30,Occipital subcortex WM,10.62,8.79,5.49,8.64,2.31,1.61,6.61,0.91,1.96,6.68,2.11,0.9,0.91,4.59,8.83,1.79,2.0,1.87,0.2,0.2,10.62,8.79,5.49,8.64,2.31,0.1823,0.7486,0.1031,0.222,0.7565,0.239,0.1019,0.1031,0.5198,0.2265,0.2118,0.0227,0.0227,0.9955,0.6217,0.9785,0.2616,0.1516,0.6224,0.0857,0.1846,0.629,0.1987,0.0847,0.0857,0.4322,0.1883,0.1761,0.0188,0.0188,0.8277,0.5169,0.8136,0.2175,0.2436,0.1377,0.2965,1.0106,0.3192,0.1362,0.1377,0.6944,1.3359,0.2708,0.3026,0.2829,0.0303,0.0303,1.6067,1.3298,0.8306,1.3071,0.3495,0.1242,0.2198,0.102,0.0299,0.0948,0.2222,0.2198,0.0436,0.1117,0.1,0.107,1.0,0.0228,0.0364,0.0231,0.0866,4.1056,0.5652,1.2174,4.1491,1.3106,0.559,0.5652,2.8509,5.4845,1.1118,1.2422,1.1615,0.1242,6.5963,5.4596,3.4099,5.3665,1.4348,0.1961,0.1639,0.24,0.76
31,Occipital  cortex GM,10.35,9.57,5.41,9.34,2.5,1.46,6.55,0.91,2.07,7.26,2.3,0.84,0.82,4.57,8.58,1.77,1.99,2.11,0.2,0.2,10.35,9.57,5.41,9.33,2.5,0.1702,0.7634,0.1061,0.2413,0.8462,0.2681,0.0979,0.0956,0.5326,0.2319,0.2459,0.0233,0.0233,1.1154,0.6305,1.0874,0.2914,0.1411,0.6329,0.0879,0.2,0.7014,0.2222,0.0812,0.0792,0.4415,0.1923,0.2039,0.0193,0.0193,0.9246,0.5227,0.9014,0.2415,0.2229,0.1389,0.316,1.1084,0.3511,0.1282,0.1252,0.6977,1.3099,0.2702,0.3038,0.3221,0.0305,0.0305,1.5802,1.4611,0.826,1.4244,0.3817,0.137,0.2198,0.0966,0.0275,0.087,0.2381,0.2439,0.0438,0.113,0.1005,0.0948,1.0,0.0209,0.037,0.0214,0.08,4.4863,0.6233,1.4178,4.9726,1.5753,0.5753,0.5616,3.1301,5.8767,1.2123,1.363,1.4452,0.137,7.089,6.5548,3.7055,6.3904,1.7123,0.1838,0.1553,0.2403,0.7586
32,Occipital cortex/subcortex GM+WM,10.49,9.14,5.45,8.96,2.39,1.54,6.58,0.91,2.01,6.95,2.19,0.87,0.87,4.58,8.71,1.78,1.99,1.98,0.2,0.2,10.49,9.14,5.45,8.96,2.39,0.1768,0.7555,0.1045,0.2308,0.7979,0.2514,0.0999,0.0999,0.5258,0.2285,0.2273,0.023,0.023,1.0494,0.6257,1.0287,0.2744,0.1468,0.6273,0.0867,0.1916,0.6625,0.2088,0.0829,0.0829,0.4366,0.1897,0.1888,0.0191,0.0191,0.8713,0.5195,0.8541,0.2278,0.234,0.1383,0.3055,1.0562,0.3328,0.1322,0.1322,0.696,1.3237,0.2705,0.3024,0.3009,0.0304,0.0304,1.5942,1.3891,0.8283,1.3617,0.3632,0.1299,0.2198,0.0995,0.0288,0.0913,0.2299,0.2299,0.0437,0.1124,0.1005,0.101,1.0,0.0219,0.0367,0.0223,0.0837,4.2727,0.5909,1.3052,4.513,1.4221,0.5649,0.5649,2.974,5.6558,1.1558,1.2922,1.2857,0.1299,6.8117,5.9351,3.539,5.8182,1.5519,0.19,0.1596,0.2396,0.7604
33,Temporal subcortex WM,10.22,9.62,5.65,8.85,2.52,1.95,6.89,0.9,1.55,7.3,2.32,0.83,0.94,4.83,8.56,1.66,2.0,1.97,0.2,0.2,10.22,9.62,5.65,8.85,2.52,0.2278,0.8049,0.1051,0.1811,0.8528,0.271,0.097,0.1098,0.5643,0.2336,0.2301,0.0234,0.0234,1.1238,0.66,1.0339,0.2944,0.1908,0.6742,0.0881,0.1517,0.7143,0.227,0.0812,0.092,0.4726,0.1957,0.1928,0.0196,0.0196,0.9413,0.5528,0.8659,0.2466,0.283,0.1306,0.225,1.0595,0.3367,0.1205,0.1364,0.701,1.2424,0.2409,0.2903,0.2859,0.029,0.029,1.4833,1.3962,0.82,1.2845,0.3657,0.1026,0.2222,0.129,0.0274,0.0862,0.241,0.2128,0.0414,0.1205,0.1,0.1015,1.0,0.0208,0.0354,0.0226,0.0794,3.5333,0.4615,0.7949,3.7436,1.1897,0.4256,0.4821,2.4769,4.3897,0.8513,1.0256,1.0103,0.1026,5.241,4.9333,2.8974,4.5385,1.2923,0.1718,0.1469,0.2412,0.7588
34,Temporal cortex/subcortex GM+WM,9.96,9.9,5.62,9.05,2.62,1.84,6.74,0.87,1.58,7.47,2.42,0.81,0.88,4.82,8.33,1.63,1.99,2.08,0.2,0.2,9.96,9.9,5.62,9.05,2.62,0.2209,0.8091,0.1044,0.1897,0.8968,0.2905,0.0972,0.1056,0.5786,0.2389,0.2497,0.024,0.024,1.1885,0.6747,1.0864,0.3145,0.1847,0.6767,0.0873,0.1586,0.75,0.243,0.0813,0.0884,0.4839,0.1998,0.2088,0.0201,0.0201,0.994,0.5643,0.9086,0.2631,0.273,0.1291,0.2344,1.1083,0.3591,0.1202,0.1306,0.7151,1.2359,0.2418,0.2953,0.3086,0.0297,0.0297,1.4777,1.4688,0.8338,1.3427,0.3887,0.1087,0.2299,0.1266,0.0268,0.0826,0.2469,0.2273,0.0415,0.1227,0.1005,0.0962,1.0,0.0202,0.0356,0.0221,0.0763,3.663,0.4728,0.8587,4.0598,1.3152,0.4402,0.4783,2.6196,4.5272,0.8859,1.0815,1.1304,0.1087,5.413,5.3804,3.0543,4.9185,1.4239,0.168,0.1441,0.2444,0.7545
35,Frontal subcortex WM,11.85,10.09,6.07,9.7,2.29,1.99,7.39,0.99,1.71,7.99,2.09,0.87,0.95,5.2,9.91,1.93,1.93,2.17,0.2,0.2,11.85,10.09,6.07,9.7,2.29,0.2008,0.7457,0.0999,0.1726,0.8063,0.2109,0.0878,0.0959,0.5247,0.1948,0.219,0.0202,0.0202,1.0182,0.6125,0.9788,0.2311,0.1679,0.6236,0.0835,0.1443,0.6743,0.1764,0.0734,0.0802,0.4388,0.1629,0.1831,0.0169,0.0169,0.8515,0.5122,0.8186,0.1932,0.2693,0.134,0.2314,1.0812,0.2828,0.1177,0.1286,0.7037,1.341,0.2612,0.2612,0.2936,0.0271,0.0271,1.6035,1.3654,0.8214,1.3126,0.3099,0.1005,0.202,0.117,0.025,0.0957,0.2299,0.2105,0.0385,0.1036,0.1036,0.0922,1.0,0.0198,0.0329,0.0206,0.0873,3.7136,0.4975,0.8593,4.0151,1.0503,0.4372,0.4774,2.6131,4.9799,0.9698,0.9698,1.0905,0.1005,5.9548,5.0704,3.0503,4.8744,1.1508,0.1673,0.1433,0.2071,0.7919
36,Frontal  cortex GM,11.29,10.58,6.01,10.12,2.49,1.74,6.98,0.95,1.84,8.29,2.29,0.78,0.87,5.22,9.44,1.85,1.96,2.39,0.2,0.2,11.29,10.58,6.01,10.13,2.49,0.1843,0.7394,0.1006,0.1949,0.8782,0.2426,0.0826,0.0922,0.553,0.2076,0.2532,0.0212,0.0212,1.1208,0.6367,1.0731,0.2638,0.1541,0.6182,0.0841,0.163,0.7343,0.2028,0.0691,0.0771,0.4624,0.1736,0.2117,0.0177,0.0177,0.9371,0.5323,0.8973,0.2205,0.2493,0.1361,0.2636,1.1877,0.3281,0.1117,0.1246,0.7479,1.3524,0.265,0.2808,0.3424,0.0287,0.0287,1.6175,1.5158,0.861,1.4513,0.3567,0.1149,0.2105,0.1087,0.0241,0.0873,0.2564,0.2299,0.0383,0.1081,0.102,0.0837,1.0,0.0189,0.0333,0.0197,0.0803,4.0115,0.546,1.0575,4.7644,1.3161,0.4483,0.5,3.0,5.4253,1.0632,1.1264,1.3736,0.1149,6.4885,6.0805,3.454,5.8218,1.431,0.1494,0.1298,0.2164,0.7836
37,Frontal cortex/subcortex GM+WM,11.6,10.3,6.04,9.88,2.38,1.88,7.21,0.97,1.76,8.12,2.18,0.83,0.92,5.21,9.7,1.9,1.94,2.27,0.2,0.2,11.6,10.3,6.04,9.88,2.38,0.1938,0.7433,0.1,0.1814,0.8371,0.2247,0.0856,0.0948,0.5371,0.2,0.234,0.0206,0.0206,1.0619,0.6227,1.0186,0.2454,0.1621,0.6216,0.0836,0.1517,0.7,0.1879,0.0716,0.0793,0.4491,0.1672,0.1957,0.0172,0.0172,0.8879,0.5207,0.8517,0.2052,0.2607,0.1345,0.2441,1.1262,0.3024,0.1151,0.1276,0.7226,1.3454,0.2635,0.2691,0.3148,0.0277,0.0277,1.6089,1.4286,0.8377,1.3703,0.3301,0.1064,0.2062,0.1136,0.0246,0.0917,0.241,0.2174,0.0384,0.1053,0.1031,0.0881,1.0,0.0194,0.0331,0.0202,0.084,3.8351,0.516,0.9362,4.3191,1.1596,0.4415,0.4894,2.7713,5.1596,1.0106,1.0319,1.2074,0.1064,6.1702,5.4787,3.2128,5.2553,1.266,0.1593,0.1374,0.2117,0.7883
38,Visual  cortex GM,11.12,9.57,5.42,9.22,2.49,1.37,6.74,1.02,1.94,7.28,2.29,0.9,0.81,4.53,9.17,1.95,2.15,2.08,0.2,0.2,11.12,9.57,5.42,9.22,2.49,0.1494,0.735,0.1112,0.2116,0.7939,0.2497,0.0981,0.0883,0.494,0.2345,0.2268,0.0218,0.0218,1.0436,0.5911,1.0055,0.2715,0.1232,0.6061,0.0917,0.1745,0.6547,0.2059,0.0809,0.0728,0.4074,0.1933,0.1871,0.018,0.018,0.8606,0.4874,0.8291,0.2239,0.2033,0.1513,0.2878,1.0801,0.3398,0.1335,0.1202,0.6721,1.3605,0.2893,0.319,0.3086,0.0297,0.0297,1.6499,1.4199,0.8042,1.368,0.3694,0.146,0.1961,0.1031,0.0275,0.0873,0.2222,0.2469,0.0442,0.1026,0.093,0.0962,1.0,0.0209,0.0369,0.0217,0.0803,4.9197,0.7445,1.4161,5.3139,1.6715,0.6569,0.5912,3.3066,6.6934,1.4234,1.5693,1.5182,0.146,8.1168,6.9854,3.9562,6.7299,1.8175,0.1987,0.1661,0.2393,0.7607
39,Visual cortex/subcortex GM+WM,11.18,9.06,5.49,8.82,2.36,1.46,6.73,0.99,1.93,6.9,2.16,0.93,0.87,4.56,9.23,1.94,2.11,1.96,0.2,0.2,11.18,9.06,5.49,8.83,2.36,0.1582,0.7291,0.1073,0.2091,0.7476,0.234,0.1008,0.0943,0.494,0.2286,0.2124,0.0217,0.0217,0.9816,0.5948,0.9567,0.2557,0.1306,0.602,0.0886,0.1726,0.6172,0.1932,0.0832,0.0778,0.4079,0.1887,0.1753,0.0179,0.0179,0.8104,0.4911,0.7898,0.2111,0.2169,0.1471,0.2868,1.0253,0.321,0.1382,0.1293,0.6776,1.3715,0.2883,0.3135,0.2912,0.0297,0.0297,1.6612,1.3462,0.8158,1.312,0.3507,0.137,0.202,0.1036,0.029,0.0926,0.2151,0.2299,0.0439,0.1031,0.0948,0.102,1.0,0.0221,0.0364,0.0227,0.0847,4.6096,0.6781,1.3219,4.726,1.4795,0.637,0.5959,3.1233,6.3219,1.3288,1.4452,1.3425,0.137,7.6575,6.2055,3.7603,6.0479,1.6164,0.2039,0.1694,0.2384,0.7616
40,Primary somatosensory  cortex GM,11.34,10.1,5.99,9.54,2.39,1.57,7.22,1.11,1.62,7.91,2.19,0.87,0.59,5.11,9.37,1.97,1.72,2.37,0.2,0.2,11.34,10.1,5.99,9.53,2.39,0.1676,0.7705,0.1185,0.1729,0.8442,0.2337,0.0928,0.063,0.5454,0.1836,0.2529,0.0213,0.0213,1.0779,0.6393,1.0171,0.2551,0.1384,0.6367,0.0979,0.1429,0.6975,0.1931,0.0767,0.052,0.4506,0.1517,0.209,0.0176,0.0176,0.8907,0.5282,0.8404,0.2108,0.2175,0.1537,0.2244,1.0956,0.3033,0.1205,0.0817,0.7078,1.2978,0.2729,0.2382,0.3283,0.0277,0.0277,1.5706,1.3989,0.8296,1.3199,0.331,0.1274,0.1802,0.1235,0.0253,0.0913,0.2299,0.339,0.0391,0.1015,0.1163,0.0844,1.0,0.0198,0.0334,0.021,0.0837,4.5987,0.707,1.0318,5.0382,1.3949,0.5541,0.3758,3.2548,5.9682,1.2548,1.0955,1.5096,0.1274,7.2229,6.4331,3.8153,6.0701,1.5223,0.1703,0.1452,0.2168,0.7832
41,Pallidum,10.39,11.07,5.22,10.58,3.09,2.11,8.88,1.05,2.41,8.18,2.89,0.91,1.63,4.31,8.43,1.95,2.85,2.01,0.2,0.2,10.39,11.07,5.22,10.59,3.09,0.2503,1.0534,0.1246,0.2859,0.9703,0.3428,0.1079,0.1934,0.5113,0.3381,0.2384,0.0237,0.0237,1.3132,0.6192,1.2562,0.3665,0.2031,0.8547,0.1011,0.232,0.7873,0.2782,0.0876,0.1569,0.4148,0.2743,0.1935,0.0192,0.0192,1.0654,0.5024,1.0192,0.2974,0.2376,0.1182,0.2714,0.9212,0.3255,0.1025,0.1836,0.4854,0.9493,0.2196,0.3209,0.2264,0.0225,0.0225,1.17,1.2466,0.5878,1.1926,0.348,0.0948,0.1905,0.083,0.0244,0.0692,0.2198,0.1227,0.0464,0.1026,0.0702,0.0995,1.0,0.0181,0.0383,0.0189,0.0647,4.2085,0.4976,1.1422,3.8768,1.3697,0.4313,0.7725,2.0427,3.9953,0.9242,1.3507,0.9526,0.0948,4.9242,5.2464,2.4739,5.019,1.4645,0.2111,0.1743,0.2611,0.7389
42,Hippocampus,8.92,9.18,6.85,8.65,2.55,2.18,7.37,0.82,1.81,6.83,2.35,1.07,1.5,5.78,7.12,1.8,2.06,2.26,0.2,0.44,8.92,9.18,6.85,8.64,2.55,0.3062,1.0351,0.1152,0.2542,0.9593,0.3301,0.1503,0.2107,0.8118,0.2893,0.3174,0.0281,0.0618,1.2893,0.9621,1.2135,0.3581,0.2444,0.8262,0.0919,0.2029,0.7657,0.2635,0.12,0.1682,0.648,0.2309,0.2534,0.0224,0.0493,1.0291,0.7679,0.9686,0.2859,0.2958,0.1113,0.2456,0.9267,0.3189,0.1452,0.2035,0.7843,0.9661,0.2442,0.2795,0.3066,0.0271,0.0597,1.2103,1.2456,0.9294,1.1723,0.346,0.0917,0.2439,0.1105,0.0293,0.0851,0.1869,0.1333,0.0346,0.1111,0.0971,0.0885,0.4545,0.0218,0.0292,0.0231,0.0784,3.3807,0.3761,0.8303,3.133,1.078,0.4908,0.6881,2.6514,3.2661,0.8257,0.945,1.0367,0.2018,4.0917,4.211,3.1422,3.9633,1.1697,0.1851,0.1562,0.256,0.744
43,Corpus callosum,11.51,8.37,6.35,8.31,2.04,2.07,5.93,1.02,1.77,6.54,1.84,1.1,1.27,5.25,9.5,2.01,2.18,1.86,0.2,0.45,11.51,8.37,6.35,8.31,2.04,0.2179,0.6242,0.1074,0.1863,0.6884,0.1937,0.1158,0.1337,0.5526,0.2295,0.1958,0.0211,0.0474,0.8811,0.6684,0.8747,0.2147,0.1798,0.5152,0.0886,0.1538,0.5682,0.1599,0.0956,0.1103,0.4561,0.1894,0.1616,0.0174,0.0391,0.7272,0.5517,0.722,0.1772,0.3491,0.172,0.2985,1.1029,0.3103,0.1855,0.2142,0.8853,1.602,0.339,0.3676,0.3137,0.0337,0.0759,1.941,1.4115,1.0708,1.4013,0.344,0.0966,0.1961,0.113,0.0306,0.1087,0.1818,0.1575,0.0381,0.0995,0.0917,0.1075,0.4444,0.0239,0.0315,0.0241,0.098,2.8647,0.4928,0.8551,3.1594,0.8889,0.5314,0.6135,2.5362,4.5894,0.971,1.0531,0.8986,0.2174,5.5604,4.0435,3.0676,4.0145,0.9855,0.2095,0.1732,0.2198,0.7814
